"","obs","date_id","unit","total_fatal","white_fatal","black_fatal","auth","eff","black","toe","count","integration_pct","black_imputed","period","specpct_imputed","specpct_imputed100","data","white","specpct_real","specpct_real100","blackbn"
"193",10053,1952051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,734,NA,917,45,0.13733024631977,125.931835875229,520501,0,0,0,NA,NA,NA,0
"194",10053,1952052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,776,NA,917,46,0.13733024631977,125.931835875229,520502,0,0,0,NA,NA,NA,0
"195",10053,1952061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,771,NA,917,47,0.13733024631977,125.931835875229,520601,0,0,0,NA,NA,NA,0
"196",10053,1952062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,754,NA,917,48,0.13733024631977,125.931835875229,520602,0,0,0,NA,NA,NA,0
"197",10053,1952071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,736,NA,917,49,0.13733024631977,125.931835875229,520701,0,0,0,NA,NA,NA,0
"198",10053,1952072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,705,NA,917,50,0.13733024631977,125.931835875229,520702,0,0,0,NA,NA,NA,0
"199",10053,1952081,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,698,NA,917,51,0.13733024631977,125.931835875229,520801,0,0,0,NA,NA,NA,0
"200",10053,1952082,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,721,NA,917,52,0.13733024631977,125.931835875229,520802,0,0,0,NA,NA,NA,0
"201",10053,1952091,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,773,NA,917,53,0.13733024631977,125.931835875229,520901,0,0,0,NA,NA,NA,0
"202",10053,1952092,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,54,0.13733024631977,125.931835875229,520902,0,0,0,NA,NA,NA,0
"203",10053,1952101,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,810,NA,917,55,0.13733024631977,125.931835875229,521001,0,0,0,NA,NA,NA,0
"204",10053,1952102,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,837,NA,917,56,0.13733024631977,125.931835875229,521002,0,0,0,NA,NA,NA,0
"205",10053,1952111,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,711,NA,917,57,0.13733024631977,125.931835875229,521101,0,0,0,NA,NA,NA,0
"206",10053,1952112,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,681,NA,917,58,0.13733024631977,125.931835875229,521102,0,0,0,NA,NA,NA,0
"207",10053,1952121,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,612,NA,917,59,0.13733024631977,125.931835875229,521201,0,0,0,NA,NA,NA,0
"208",10053,1952122,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,616,NA,917,60,0.13733024631977,125.931835875229,521202,0,0,0,NA,NA,NA,0
"209",10053,1953011,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,560,NA,917,61,0.13733024631977,125.931835875229,530101,0,0,0,NA,NA,NA,0
"210",10053,1953012,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,854,654,NA,917,62,0.13733024631977,125.931835875229,530102,0,0,0,NA,NA,NA,0
"211",10053,1953021,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,644,NA,917,63,0.13733024631977,125.931835875229,530201,0,0,0,NA,NA,NA,0
"212",10053,1953022,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,721,NA,917,64,0.13733024631977,125.931835875229,530202,0,0,0,NA,NA,NA,0
"213",10053,1953031,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,693,NA,917,65,0.13733024631977,125.931835875229,530301,0,0,0,NA,NA,NA,0
"214",10053,1953032,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,664,NA,917,66,0.13733024631977,125.931835875229,530302,0,0,0,NA,NA,NA,0
"215",10053,1953041,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,694,NA,917,67,0.13733024631977,125.931835875229,530401,0,0,0,NA,NA,NA,0
"216",10053,1953042,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,68,0.13733024631977,125.931835875229,530402,0,0,0,NA,NA,NA,0
"217",10053,1953051,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,887,653,NA,917,69,0.13733024631977,125.931835875229,530501,0,0,0,NA,NA,NA,0
"218",10053,1953052,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,70,0.13733024631977,125.931835875229,530502,0,0,0,NA,NA,NA,0
"219",10053,1953061,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",1,0,0,NA,NA,NA,917,71,0.13733024631977,125.931835875229,530601,0,0,0,NA,NA,NA,0
"220",10053,1953062,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,72,0.13733024631977,125.931835875229,530602,0,0,0,NA,NA,NA,0
"221",10053,1953071,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,73,0.13733024631977,125.931835875229,530701,0,0,0,NA,NA,NA,0
"222",10053,1953072,"1ST CAVALRY DIVISION, 5TH CAVALRY REGIMENT, 3RD BATTALION",0,0,0,NA,NA,NA,917,74,0.13733024631977,125.931835875229,530702,0,0,0,NA,NA,NA,0
"255",10071,1951111,"1ST CAVALRY DIVISION, 7TH CAVALRY REGIMENT, 1ST BATTALION",83,71,12,894,896,NA,917,33,0.13733024631977,125.931835875229,511101,0.0897520633744042,8.97520633744042,0,NA,NA,NA,0
